product_id,customer_id,rating,review_text,review_date,product_category,verified_purchase
P001,C1547,5,"Absolutely love this product! Exceeded all my expectations. The quality is outstanding and it arrived faster than promised. Will definitely buy again!",2024-01-15,Electronics,True
P001,C2891,4,"Great product overall. Works as advertised. Only minor issue is the instructions could be clearer, but figured it out eventually.",2024-01-18,Electronics,True
P002,C3456,1,"Very disappointed. Stopped working after just 2 weeks. Customer service was unhelpful. Would not recommend.",2024-01-20,Electronics,True
P002,C4123,2,"Not worth the price. Quality feels cheap and it doesn't perform as well as described. Returning it.",2024-01-22,Electronics,False
P003,C5678,5,"Perfect! Exactly what I needed. The design is beautiful and it's very user-friendly. Highly recommend!",2024-01-25,Home & Kitchen,True
P003,C6234,5,"Amazing quality. I've recommended this to all my friends. Best purchase I've made this year!",2024-01-28,Home & Kitchen,True
P004,C7890,3,"It's okay. Does the job but nothing special. For the price, I expected more features.",2024-02-01,Home & Kitchen,True
P005,C8345,4,"Good value for money. Works well and seems durable. Would have given 5 stars but delivery was delayed.",2024-02-05,Clothing,True
P005,C9012,5,"Fits perfectly and the material is excellent quality. Very comfortable. Will buy in other colors!",2024-02-08,Clothing,True
P006,C1678,1,"Terrible quality. Broke on first use. Don't waste your money on this junk.",2024-02-10,Tools,True
P006,C2345,2,"Cheaply made. Not what I expected based on the product photos. Very misleading.",2024-02-12,Tools,True
P007,C3901,5,"Exceptional product! Changed my daily routine for the better. Can't imagine life without it now.",2024-02-15,Health & Beauty,True
P007,C4567,4,"Really good! Minor design flaw but overall very satisfied. Would recommend with reservations.",2024-02-18,Health & Beauty,True
P008,C5234,3,"Average product. Nothing wrong with it but nothing exceptional either. Gets the job done.",2024-02-20,Sports,False
P008,C6890,4,"Pretty good for the price point. I've used similar products that cost twice as much.",2024-02-22,Sports,True
P009,C7456,5,"Outstanding! Best in its category. Worth every penny. Already ordered another one as a gift.",2024-02-25,Books,True
P009,C8123,5,"Brilliant! Couldn't put it down. Highly engaging and well-written. A must-read!",2024-02-28,Books,True
P010,C9678,2,"Not as described. The actual product looks nothing like the photos. Feel scammed.",2024-03-01,Home & Kitchen,True
P010,C1234,1,"Horrible experience. Product arrived damaged and seller refused to refund. Avoid!",2024-03-03,Home & Kitchen,True
